Geo_Code,Prov_Name,Topic,Untrimmed Characteristic,Characteristic,Note,Total,Male,Female
1,Canada,Detailed mother tongue,Bosnian,Bosnian,,11685,5805,5875
1,Canada,Detailed mother tongue,Bulgarian,Bulgarian,,19050,9305,9740
1,Canada,Detailed mother tongue,Burmese,Burmese,,2985,1515,1470
1,Canada,Detailed mother tongue,Cantonese,Cantonese,,372460,173510,198955
1,Canada,Detailed mother tongue,"Chinese, n.o.s.","Chinese, n.o.s.",,425210,200800,224410
1,Canada,Detailed mother tongue,Creoles,Creoles,,61725,27620,34105
1,Canada,Detailed mother tongue,Croatian,Croatian,,49730,24395,25335
1,Canada,Detailed mother tongue,Czech,Czech,,23585,11350,12230
1,Canada,Detailed mother tongue,Danish,Danish,,14145,6950,7200
1,Canada,Detailed mother tongue,Dutch,Dutch,,110490,54060,56425
1,Canada,Detailed mother tongue,Estonian,Estonian,,6385,2755,3630
1,Canada,Detailed mother tongue,Finnish,Finnish,,17415,7390,10020
1,Canada,Detailed mother tongue,Flemish,Flemish,,4690,2060,2635
1,Canada,Detailed mother tongue,Fukien,Fukien,,5925,2730,3190
1,Canada,Detailed mother tongue,German,German,,409200,195415,213785
1,Canada,Detailed mother tongue,Greek,Greek,,108925,55085,53840
1,Canada,Detailed mother tongue,Gujarati,Gujarati,,91450,45570,45875
1,Canada,Detailed mother tongue,Hakka,Hakka,,5115,2360,2755
1,Canada,Detailed mother tongue,Hebrew,Hebrew,,18450,9865,8585
1,Canada,Detailed mother tongue,Hindi,Hindi,,90545,45170,45375
1,Canada,Detailed mother tongue,Hungarian,Hungarian,,67920,32740,35180
1,Canada,Detailed mother tongue,Ilocano,Ilocano,,17915,6945,10965
1,Canada,Detailed mother tongue,"Indo-Iranian languages, n.i.e.","Indo-Iranian languages, n.i.e.",,5255,2860,2395
1,Canada,Detailed mother tongue,Italian,Italian,,407485,201985,205510
1,Canada,Detailed mother tongue,Japanese,Japanese,,39985,14035,25955
1,Canada,Detailed mother tongue,Khmer (Cambodian),Khmer (Cambodian),,19440,9095,10345
1,Canada,Detailed mother tongue,Korean,Korean,,137925,64090,73835
1,Canada,Detailed mother tongue,Kurdish,Kurdish,,9805,5350,4445
1,Canada,Detailed mother tongue,Lao,Lao,,12970,6375,6590
1,Canada,Detailed mother tongue,Latvian,Latvian,,6200,2700,3505
1,Canada,Detailed mother tongue,Lingala,Lingala,,3085,1440,1645
1,Canada,Detailed mother tongue,Lithuanian,Lithuanian,,7245,3080,4165
1,Canada,Detailed mother tongue,Macedonian,Macedonian,,17245,8405,8840
1,Canada,Detailed mother tongue,Malay,Malay,,10910,4845,6060
1,Canada,Detailed mother tongue,Malayalam,Malayalam,,16080,8200,7875
1,Canada,Detailed mother tongue,Maltese,Maltese,,6220,3125,3100
1,Canada,Detailed mother tongue,Mandarin,Mandarin,,248705,116480,132225
1,Canada,Detailed mother tongue,Marathi,Marathi,,5830,3030,2805
1,Canada,Detailed mother tongue,Nepali,Nepali,,8480,4350,4135
1,Canada,Detailed mother tongue,"Niger-Congo languages, n.i.e.","Niger-Congo languages, n.i.e.",,14075,7385,6685
1,Canada,Detailed mother tongue,Norwegian,Norwegian,,5800,2745,3055
1,Canada,Detailed mother tongue,Oromo,Oromo,,11140,6075,5060
1,Canada,Detailed mother tongue,Panjabi (Punjabi),Panjabi (Punjabi),,430705,217015,213685
1,Canada,Detailed mother tongue,Pashto,Pashto,,12465,6470,5990
1,Canada,Detailed mother tongue,Persian (Farsi),Persian (Farsi),,170045,86810,83235
1,Canada,Detailed mother tongue,Polish,Polish,,191645,87905,103745
1,Canada,Detailed mother tongue,Portuguese,Portuguese,,211335,102320,109015
1,Canada,Detailed mother tongue,Romanian,Romanian,,90300,43475,46820
1,Canada,Detailed mother tongue,Rundi (Kirundi),Rundi (Kirundi),,3975,1875,2100
1,Canada,Detailed mother tongue,Russian,Russian,,164330,75275,89050
1,Canada,Detailed mother tongue,Rwanda (Kinyarwanda),Rwanda (Kinyarwanda),,3895,1710,2185
1,Canada,Detailed mother tongue,"Semitic languages, n.i.e.","Semitic languages, n.i.e.",,16970,8395,8575
1,Canada,Detailed mother tongue,Serbian,Serbian,,56420,28125,28290
1,Canada,Detailed mother tongue,Serbo-Croatian,Serbo-Croatian,,10155,4940,5215
1,Canada,Detailed mother tongue,Shanghainese,Shanghainese,,2920,1230,1695
1,Canada,Detailed mother tongue,"Sign languages, n.i.e.","Sign languages, n.i.e.",,3815,2050,1760
1,Canada,Detailed mother tongue,Sindhi,Sindhi,,11330,5290,6040
1,Canada,Detailed mother tongue,Sinhala (Sinhalese),Sinhala (Sinhalese),,14185,7070,7110
1,Canada,Detailed mother tongue,"Sino-Tibetan languages, n.i.e.","Sino-Tibetan languages, n.i.e.",,4360,2225,2135
1,Canada,Detailed mother tongue,"Slavic languages, n.i.e.","Slavic languages, n.i.e.",,3630,1850,1785
1,Canada,Detailed mother tongue,Slovak,Slovak,,17580,8045,9540
1,Canada,Detailed mother tongue,Slovenian,Slovenian,,10775,5015,5760
1,Canada,Detailed mother tongue,Somali,Somali,,31380,14260,17120
1,Canada,Detailed mother tongue,Spanish,Spanish,,410670,199110,211565
1,Canada,Detailed mother tongue,Swahili,Swahili,,10090,5050,5045
1,Canada,Detailed mother tongue,Swedish,Swedish,,7350,3170,4175
1,Canada,Detailed mother tongue,"Tagalog (Pilipino, Filipino)","Tagalog (Pilipino, Filipino)",,327445,131405,196045
1,Canada,Detailed mother tongue,Taiwanese,Taiwanese,,9635,4450,5185
1,Canada,Detailed mother tongue,Tamil,Tamil,,131265,65145,66120
1,Canada,Detailed mother tongue,Telugu,Telugu,,9315,4910,4405
1,Canada,Detailed mother tongue,Thai,Thai,,7935,2505,5425
1,Canada,Detailed mother tongue,Tibetan languages,Tibetan languages,,4640,2365,2270
1,Canada,Detailed mother tongue,Tigrigna,Tigrigna,,10220,4990,5230
1,Canada,Detailed mother tongue,Turkish,Turkish,,29640,15865,13775
1,Canada,Detailed mother tongue,Ukrainian,Ukrainian,,111540,49570,61975
1,Canada,Detailed mother tongue,Urdu,Urdu,,172800,88295,84500
1,Canada,Detailed mother tongue,Vietnamese,Vietnamese,,144880,68255,76625
1,Canada,Detailed mother tongue,Yiddish,Yiddish,,15205,7400,7805
1,Canada,Detailed mother tongue,Other languages,Other languages,22,77890,38055,39835
1,Canada,Detailed mother tongue,English and French,English and French,,144685,69975,74710
1,Canada,Detailed mother tongue,English and non-official language,English and non-official language,,396330,192000,204330
1,Canada,Detailed mother tongue,French and non-official language,French and non-official language,,74430,36535,37890
1,Canada,Detailed mother tongue,"English, French and non-official language","English, French and non-official language",,24095,11965,12130
1,Canada,Knowledge of official languages,English only,English only,,22564665,11222185,11342485
1,Canada,Knowledge of official languages,French only,French only,,4165015,1925340,2239680
1,Canada,Knowledge of official languages,English and French,English and French,,5795570,2876560,2919005
1,Canada,Knowledge of official languages,Neither English nor French,Neither English nor French,,595920,241790,354135
1,Canada,First official language spoken,English,English,,24662900,12172545,12490350
1,Canada,First official language spoken,French,French,,7507890,3671815,3836075
1,Canada,First official language spoken,English and French,English and French,,367635,186235,181405
1,Canada,First official language spoken,Neither English nor French,Neither English nor French,,582755,235280,347475
1,Canada,First official language spoken,Official language minority (number),Official language minority (number),23,7691705,3764930,3926770
1,Canada,Detailed language spoken most often at home,English,English,,21457075,10585620,10871455
1,Canada,Detailed language spoken most often at home,French,French,,6827865,3348235,3479625
1,Canada,Detailed language spoken most often at home,Atikamekw,Atikamekw,,5365,2800,2565
1,Canada,Detailed language spoken most often at home,"Cree, n.o.s.","Cree, n.o.s.",,44520,22555,21970
1,Canada,Detailed language spoken most often at home,Dene,Dene,,7960,4025,3940
1,Canada,Detailed language spoken most often at home,Innu/Montagnais,Innu/Montagnais,,9630,4700,4935
1,Canada,Detailed language spoken most often at home,Inuktitut,Inuktitut,,27170,13780,13390
1,Canada,Detailed language spoken most often at home,Mi'kmaq,Mi'kmaq,,4160,2100,2060
1,Canada,Detailed language spoken most often at home,Ojibway,Ojibway,,6850,3555,3295
1,Canada,Detailed language spoken most often at home,Oji-Cree,Oji-Cree,,6875,3525,3350
1,Canada,Detailed language spoken most often at home,Stoney,Stoney,,2070,1025,1045
1,Canada,Detailed language spoken most often at home,"African languages, n.i.e.","African languages, n.i.e.",,4130,2085,2045
1,Canada,Detailed language spoken most often at home,Afrikaans,Afrikaans,,4465,2230,2235
1,Canada,Detailed language spoken most often at home,Akan (Twi),Akan (Twi),,6545,2980,3560
1,Canada,Detailed language spoken most often at home,Albanian,Albanian,,13765,6985,6775
1,Canada,Detailed language spoken most often at home,Amharic,Amharic,,10760,5065,5695
1,Canada,Detailed language spoken most often at home,Arabic,Arabic,,181790,92840,88950
1,Canada,Detailed language spoken most often at home,Armenian,Armenian,,19140,9035,10105
1,Canada,Detailed language spoken most often at home,"Bantu languages, n.i.e.","Bantu languages, n.i.e.",,1815,865,950
1,Canada,Detailed language spoken most often at home,Bengali,Bengali,,42065,21140,20925
1,Canada,Detailed language spoken most often at home,Berber languages (Kabyle),Berber languages (Kabyle),,1995,1045,950
1,Canada,Detailed language spoken most often at home,Bisayan languages,Bisayan languages,,5390,2395,2995
1,Canada,Detailed language spoken most often at home,Bosnian,Bosnian,,6705,3385,3315
1,Canada,Detailed language spoken most often at home,Bulgarian,Bulgarian,,12075,5940,6135
1,Canada,Detailed language spoken most often at home,Burmese,Burmese,,1895,970,925
1,Canada,Detailed language spoken most often at home,Cantonese,Cantonese,,288620,133355,155265
1,Canada,Detailed language spoken most often at home,"Chinese, n.o.s.","Chinese, n.o.s.",,297295,141425,155870
1,Canada,Detailed language spoken most often at home,Creoles,Creoles,,25475,11045,14435
1,Canada,Detailed language spoken most often at home,Croatian,Croatian,,18730,8950,9780
1,Canada,Detailed language spoken most often at home,Czech,Czech,,7415,3595,3820
1,Canada,Detailed language spoken most often at home,Danish,Danish,,945,475,465
1,Canada,Detailed language spoken most often at home,Dutch,Dutch,,11530,5485,6040
1,Canada,Detailed language spoken most often at home,Estonian,Estonian,,1450,550,895
1,Canada,Detailed language spoken most often at home,Finnish,Finnish,,3335,1480,1855
1,Canada,Detailed language spoken most often at home,Flemish,Flemish,,455,210,245
1,Canada,Detailed language spoken most often at home,Fukien,Fukien,,1900,875,1030
1,Canada,Detailed language spoken most often at home,German,German,,126375,61350,65030
1,Canada,Detailed language spoken most often at home,Greek,Greek,,47705,22800,24905
1,Canada,Detailed language spoken most often at home,Gujarati,Gujarati,,55725,27220,28505
1,Canada,Detailed language spoken most often at home,Hakka,Hakka,,2050,945,1110
1,Canada,Detailed language spoken most often at home,Hebrew,Hebrew,,8400,4245,4150
1,Canada,Detailed language spoken most often at home,Hindi,Hindi,,47080,23215,23870
1,Canada,Detailed language spoken most often at home,Hungarian,Hungarian,,22945,10780,12165
1,Canada,Detailed language spoken most often at home,Ilocano,Ilocano,,6160,2610,3550
1,Canada,Detailed language spoken most often at home,"Indo-Iranian languages, n.i.e.","Indo-Iranian languages, n.i.e.",,2285,1165,1120
1,Canada,Detailed language spoken most often at home,Italian,Italian,,139480,61990,77485
1,Canada,Detailed language spoken most often at home,Japanese,Japanese,,18850,8010,10835
1,Canada,Detailed language spoken most often at home,Khmer (Cambodian),Khmer (Cambodian),,11330,5250,6075
1,Canada,Detailed language spoken most often at home,Korean,Korean,,104905,49660,55245
1,Canada,Detailed language spoken most often at home,Kurdish,Kurdish,,6000,3125,2875
1,Canada,Detailed language spoken most often at home,Lao,Lao,,6980,3445,3540
1,Canada,Detailed language spoken most often at home,Latvian,Latvian,,1625,715,910
1,Canada,Detailed language spoken most often at home,Lingala,Lingala,,880,400,485
1,Canada,Detailed language spoken most often at home,Lithuanian,Lithuanian,,2115,915,1205
1,Canada,Detailed language spoken most often at home,Macedonian,Macedonian,,7775,3740,4035
1,Canada,Detailed language spoken most often at home,Malay,Malay,,3940,1935,2005
1,Canada,Detailed language spoken most often at home,Malayalam,Malayalam,,7955,4010,3940
1,Canada,Detailed language spoken most often at home,Maltese,Maltese,,1330,640,690
1,Canada,Detailed language spoken most often at home,Mandarin,Mandarin,,203275,97960,105320
1,Canada,Detailed language spoken most often at home,Marathi,Marathi,,2800,1450,1345
1,Canada,Detailed language spoken most often at home,Nepali,Nepali,,6320,3215,3105
1,Canada,Detailed language spoken most often at home,"Niger-Congo languages, n.i.e.","Niger-Congo languages, n.i.e.",,3785,1800,1985
1,Canada,Detailed language spoken most often at home,Norwegian,Norwegian,,575,275,300
1,Canada,Detailed language spoken most often at home,Oromo,Oromo,,4745,2445,2305
1,Canada,Detailed language spoken most often at home,Panjabi (Punjabi),Panjabi (Punjabi),,317075,158375,158700
1,Canada,Detailed language spoken most often at home,Pashto,Pashto,,8700,4390,4310
1,Canada,Detailed language spoken most often at home,Persian (Farsi),Persian (Farsi),,118830,58420,60415
1,Canada,Detailed language spoken most often at home,Polish,Polish,,85210,39945,45260
1,Canada,Detailed language spoken most often at home,Portuguese,Portuguese,,97210,46445,50760
1,Canada,Detailed language spoken most often at home,Romanian,Romanian,,54460,26580,27880
1,Canada,Detailed language spoken most often at home,Rundi (Kirundi),Rundi (Kirundi),,1335,610,720
1,Canada,Detailed language spoken most often at home,Russian,Russian,,109735,52320,57420
1,Canada,Detailed language spoken most often at home,Rwanda (Kinyarwanda),Rwanda (Kinyarwanda),,1180,540,640
1,Canada,Detailed language spoken most often at home,"Semitic languages, n.i.e.","Semitic languages, n.i.e.",,11670,5640,6030
1,Canada,Detailed language spoken most often at home,Serbian,Serbian,,34885,17100,17780
1,Canada,Detailed language spoken most often at home,Serbo-Croatian,Serbo-Croatian,,5040,2465,2580
1,Canada,Detailed language spoken most often at home,Shanghainese,Shanghainese,,1325,610,715
1,Canada,Detailed language spoken most often at home,"Sign languages, n.i.e.","Sign languages, n.i.e.",,6305,3685,2620
1,Canada,Detailed language spoken most often at home,Sindhi,Sindhi,,4870,2175,2695
1,Canada,Detailed language spoken most often at home,Sinhala (Sinhalese),Sinhala (Sinhalese),,6850,3410,3440
1,Canada,Detailed language spoken most often at home,"Sino-Tibetan languages, n.i.e.","Sino-Tibetan languages, n.i.e.",,3525,1795,1730
1,Canada,Detailed language spoken most often at home,"Slavic languages, n.i.e.","Slavic languages, n.i.e.",,1135,545,590
1,Canada,Detailed language spoken most often at home,Slovak,Slovak,,5370,2545,2825
1,Canada,Detailed language spoken most often at home,Slovenian,Slovenian,,2475,1095,1380
1,Canada,Detailed language spoken most often at home,Somali,Somali,,21665,9665,12000
1,Canada,Detailed language spoken most often at home,Spanish,Spanish,,252015,123085,128935
1,Canada,Detailed language spoken most often at home,Swahili,Swahili,,4175,2040,2130
1,Canada,Detailed language spoken most often at home,Swedish,Swedish,,1130,535,595
1,Canada,Detailed language spoken most often at home,"Tagalog (Pilipino, Filipino)","Tagalog (Pilipino, Filipino)",,161080,71145,89935
1,Canada,Detailed language spoken most often at home,Taiwanese,Taiwanese,,4830,2315,2515
1,Canada,Detailed language spoken most often at home,Tamil,Tamil,,98940,48355,50590
1,Canada,Detailed language spoken most often at home,Telugu,Telugu,,5205,2675,2530
1,Canada,Detailed language spoken most often at home,Thai,Thai,,3215,1470,1745
1,Canada,Detailed language spoken most often at home,Tibetan languages,Tibetan languages,,3620,1835,1785
1,Canada,Detailed language spoken most often at home,Tigrigna,Tigrigna,,5975,2845,3130
1,Canada,Detailed language spoken most often at home,Turkish,Turkish,,18705,9510,9190
1,Canada,Detailed language spoken most often at home,Ukrainian,Ukrainian,,25565,11505,14065
1,Canada,Detailed language spoken most often at home,Urdu,Urdu,,113785,57100,56680
1,Canada,Detailed language spoken most often at home,Vietnamese,Vietnamese,,104960,49550,55410
1,Canada,Detailed language spoken most often at home,Yiddish,Yiddish,,6860,3515,3350
1,Canada,Detailed language spoken most often at home,Other languages,Other languages,22,27265,13670,13595
1,Canada,Detailed language spoken most often at home,English and French,English and French,,131205,63475,67730
1,Canada,Detailed language spoken most often at home,English and non-official language,English and non-official language,,875135,425370,449765
1,Canada,Detailed language spoken most often at home,French and non-official language,French and non-official language,,109700,53010,56690
1,Canada,Detailed language spoken most often at home,"English, French and non-official language","English, French and non-official language",,46330,22845,23485
1,Canada,Detailed other language spoken regularly at home,None,None,,28418595,13988140,14430455
1,Canada,Detailed other language spoken regularly at home,English,English,,1910475,948755,961715
1,Canada,Detailed other language spoken regularly at home,French,French,,678940,318530,360415
1,Canada,Detailed other language spoken regularly at home,Atikamekw,Atikamekw,,470,205,265
1,Canada,Detailed other language spoken regularly at home,"Cree, n.o.s.","Cree, n.o.s.",,32750,15645,17105
1,Canada,Detailed other language spoken regularly at home,Dene,Dene,,3245,1535,1710
1,Canada,Detailed other language spoken regularly at home,Innu/Montagnais,Innu/Montagnais,,1065,490,580
1,Canada,Detailed other language spoken regularly at home,Inuktitut,Inuktitut,,7230,3510,3720
1,Canada,Detailed other language spoken regularly at home,Mi'kmaq,Mi'kmaq,,3135,1435,1700
1,Canada,Detailed other language spoken regularly at home,Ojibway,Ojibway,,10870,5040,5835
1,Canada,Detailed other language spoken regularly at home,Oji-Cree,Oji-Cree,,3300,1570,1730
1,Canada,Detailed other language spoken regularly at home,Stoney,Stoney,,865,410,455
1,Canada,Detailed other language spoken regularly at home,"African languages, n.i.e.","African languages, n.i.e.",,3625,1930,1695
1,Canada,Detailed other language spoken regularly at home,Afrikaans,Afrikaans,,4185,2075,2110
1,Canada,Detailed other language spoken regularly at home,Akan (Twi),Akan (Twi),,6105,3010,3095
1,Canada,Detailed other language spoken regularly at home,Albanian,Albanian,,6155,3095,3055
1,Canada,Detailed other language spoken regularly at home,Amharic,Amharic,,5665,2785,2875
1,Canada,Detailed other language spoken regularly at home,Arabic,Arabic,,116375,62625,53755
1,Canada,Detailed other language spoken regularly at home,Armenian,Armenian,,6690,3270,3420
1,Canada,Detailed other language spoken regularly at home,"Bantu languages, n.i.e.","Bantu languages, n.i.e.",,3595,1735,1860
1,Canada,Detailed other language spoken regularly at home,Bengali,Bengali,,11405,5925,5475
1,Canada,Detailed other language spoken regularly at home,Berber languages (Kabyle),Berber languages (Kabyle),,2040,1085,955
1,Canada,Detailed other language spoken regularly at home,Bisayan languages,Bisayan languages,,4015,1515,2500
1,Canada,Detailed other language spoken regularly at home,Bosnian,Bosnian,,3365,1635,1730
1,Canada,Detailed other language spoken regularly at home,Bulgarian,Bulgarian,,3985,1850,2135
1,Canada,Detailed other language spoken regularly at home,Burmese,Burmese,,860,425,435
1,Canada,Detailed other language spoken regularly at home,Cantonese,Cantonese,,83955,40200,43755
1,Canada,Detailed other language spoken regularly at home,"Chinese, n.o.s.","Chinese, n.o.s.",,74930,35840,39090
1,Canada,Detailed other language spoken regularly at home,Creoles,Creoles,,44100,19795,24305
1,Canada,Detailed other language spoken regularly at home,Croatian,Croatian,,19045,9240,9805
1,Canada,Detailed other language spoken regularly at home,Czech,Czech,,7540,3415,4120
1,Canada,Detailed other language spoken regularly at home,Danish,Danish,,4800,2145,2655
1,Canada,Detailed other language spoken regularly at home,Dutch,Dutch,,34465,15800,18660
1,Canada,Detailed other language spoken regularly at home,Estonian,Estonian,,2240,955,1285
1,Canada,Detailed other language spoken regularly at home,Finnish,Finnish,,5670,2355,3310
1,Canada,Detailed other language spoken regularly at home,Flemish,Flemish,,995,405,585
1,Canada,Detailed other language spoken regularly at home,Fukien,Fukien,,2315,1080,1235
1,Canada,Detailed other language spoken regularly at home,German,German,,117070,54490,62585
1,Canada,Detailed other language spoken regularly at home,Greek,Greek,,50670,25670,25005
